Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Multiple Sclerosis	C0026769	VDR	7421	P11473	vitamin D receptor	Nuclear receptor	852	0.352	0.885	1.6787e-05	0.4		0.891	64	5	1999	2019
Multiple Sclerosis	C0026769	CNR1	1268	P21554	cannabinoid receptor 1	G-protein coupled receptor	393	0.446	0.808	0.50652	0.37		1.0	8	1	2003	2019
Multiple Sclerosis	C0026769	GC	2638	P02774	GC vitamin D binding protein	Transporter	219	0.489	0.885	2.7301e-11	0.37		0.75	8	3	1988	2018
Multiple Sclerosis	C0026769	CASP1	834	P29466	caspase 1	Enzyme	444	0.413	0.885	3.5183e-05	0.36		1.0	7	0	1999	2018
Multiple Sclerosis	C0026769	SLC11A1	6556	P49279	solute carrier family 11 member 1	Transporter	141	0.525	0.846	1.5485e-19	0.35		0.667	6	1	2001	2010
Multiple Sclerosis	C0026769	CLDN11	5010	O75508	claudin 11	Cell-cell junction	56	0.623	0.731	0.91076	0.34		1.0	4	0	2008	2019
Multiple Sclerosis	C0026769	POMC	5443	P01189	proopiomelanocortin		873	0.356	0.846	0.00011658	0.34		1.0	6	0	1988	2018
Multiple Sclerosis	C0026769	PDCD1	5133	Q15116	programmed cell death 1		497	0.402	0.846	0.41706	0.33		1.0	3	0	2011	2017
Multiple Sclerosis	C0026769	NECTIN2	5819	Q92692	nectin cell adhesion molecule 2		106	0.575	0.769	0.96926	0.33		0.667	3	0	2004	2007
Multiple Sclerosis	C0026769	SELE	6401	P16581	selectin E		327	0.447	0.808	7.9058e-10	0.33		1.0	4	1	1999	2019
Multiple Sclerosis	C0026769	VCAM1	7412	P19320	vascular cell adhesion molecule 1		406	0.422	0.808	0.79791	0.33		1.0	4	0	2010	2019
Multiple Sclerosis	C0026769	IL12A	3592	P29459	interleukin 12A		261	0.491	0.808	0.04746	0.32		1.0	3	0	2009	2013
Multiple Sclerosis	C0026769	RBPJ	3516	Q06330	recombination signal binding protein for immunoglobulin kappa J region	Nucleic acid binding	161	0.518	0.808	0.99853	0.31		1.0	2	0	2011	2015
Multiple Sclerosis	C0026769	MCAM	4162	P43121	melanoma cell adhesion molecule	Cell adhesion	169	0.514	0.731	0.00015954	0.31		1.0	2	0	2013	2018
Multiple Sclerosis	C0026769	KCNJ10	3766	P78508	potassium inwardly rectifying channel subfamily J member 10	Ion channel	95	0.599	0.654	0.1502	0.3		1.0	1	0	2013	2013
Multiple Sclerosis	C0026769	BCHE	590	P06276	butyrylcholinesterase		392	0.447	0.923	1.0643e-13	0.3		1.0	1	0	2010	2010
Multiple Sclerosis	C0026769	TNF	7124	P01375	tumor necrosis factor	Signaling	2724	0.231	0.962	0.8033	0.3		0.88	133	1	1990	2020
Multiple Sclerosis	C0026769	PRF1	5551	P14222	perforin 1		163	0.54	0.692	5.4875e-06	0.22		1.0	5	2	1998	2013
Multiple Sclerosis	C0026769	CYP27B1	1594	O15528	cytochrome P450 family 27 subfamily B member 1	Enzyme	229	0.502	0.769	1.9194e-07	0.2		0.905	21	2	2008	2019
Multiple Sclerosis	C0026769	LRCH1	23143	Q9Y2L9	leucine rich repeats and calponin homology domain containing 1		19	0.769	0.269	0.99552	0.2		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	HLA-A	3105	P04439	major histocompatibility complex, class I, A		672	0.37	0.846	0.0013299	0.2		0.919	37	4	1978	2019
Multiple Sclerosis	C0026769	HLA-B	3106	P01889	major histocompatibility complex, class I, B		706	0.379	0.885	3.8642e-05	0.2		1.0	17	6	1979	2019
Multiple Sclerosis	C0026769	HLA-DQA1	3117	P01909	major histocompatibility complex, class II, DQ alpha 1	Immune response	427	0.416	0.846	0.023947	0.2		0.884	43	3	1991	2019
Multiple Sclerosis	C0026769	STAT3	6774	P40763	signal transducer and activator of transcription 3	Nucleic acid binding	1193	0.32	0.923	1.0	0.2		1.0	14	4	2004	2020
Multiple Sclerosis	C0026769	CD226	10666	Q15762	CD226 molecule		124	0.548	0.769	0.03921	0.18		1.0	9	1	2009	2018
Multiple Sclerosis	C0026769	IL23R	149233	Q5VWK5	interleukin 23 receptor	Signaling	306	0.466	0.769	0.00055961	0.18		0.889	9	6	2007	2017
Multiple Sclerosis	C0026769	GPC5	2262	P78333	glypican 5		65	0.626	0.654	3.9864e-10	0.17		1.0	7	4	2009	2014
Multiple Sclerosis	C0026769	NR1H3	10062	Q13133	nuclear receptor subfamily 1 group H member 3	Nuclear receptor	102	0.566	0.692	0.90374	0.16		1.0	6	5	2016	2018
Multiple Sclerosis	C0026769	MAPK1	5594	P28482	mitogen-activated protein kinase 1	Kinase	1059	0.33	0.923	0.99698	0.16		1.0	8	1	1999	2018
Multiple Sclerosis	C0026769	IFIH1	64135	Q9BYX4	interferon induced with helicase C domain 1		319	0.471	0.808	6.9819e-44	0.16		1.0	7	3	2008	2020
Multiple Sclerosis	C0026769	EVI5	7813	O60447	ecotropic viral integration site 5	Enzyme	22	0.743	0.346	1.9654e-11	0.16		1.0	9	6	2008	2017
Multiple Sclerosis	C0026769	ATG5	9474	Q9H1Y0	autophagy related 5	Transporter	282	0.462	0.885	0.97758	0.16		1.0	7	2	2009	2019
Multiple Sclerosis	C0026769	ERG	2078	P11308	ETS transcription factor ERG	Transcription factor	298	0.453	0.808	0.96413	0.15		1.0	6	1	2016	2019
Multiple Sclerosis	C0026769	KIF21B	23046	O75037	kinesin family member 21B	Cellular structure	10	0.805	0.192	1.7695e-06	0.15		1.0	6	1	2010	2014
Multiple Sclerosis	C0026769	TAP2	6891	Q03519	transporter 2, ATP binding cassette subfamily B member	Transporter	155	0.517	0.808	6.8911e-11	0.15		0.833	6	1	1994	2007
Multiple Sclerosis	C0026769	CCR6	1235	P51684	C-C motif chemokine receptor 6	G-protein coupled receptor	231	0.485	0.808	0.0057867	0.14		1.0	5	1	2011	2020
Multiple Sclerosis	C0026769	PTPN22	26191	Q9Y2R2	protein tyrosine phosphatase non-receptor type 22		400	0.438	0.846	3.4921e-21	0.14		0.6	5	1	2005	2012
Multiple Sclerosis	C0026769	MGAT5	4249	Q09328	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	Enzyme	59	0.638	0.5	0.99998	0.14		1.0	4	1	2010	2013
Multiple Sclerosis	C0026769	FCRL3	115352	Q96P31	Fc receptor like 3	Cell adhesion	62	0.612	0.769	5.9739e-21	0.13		1.0	4	4	2007	2016
Multiple Sclerosis	C0026769	TAGAP	117289	Q8N103	T cell activation RhoGTPase activating protein	Enzyme modulator	24	0.7	0.462	0.84621	0.13		1.0	5	1	2011	2017
Multiple Sclerosis	C0026769	CCR3	1232	P51677	C-C motif chemokine receptor 3	G-protein coupled receptor	149	0.527	0.808	0.00012636	0.13		1.0	4	1	2003	2014
Multiple Sclerosis	C0026769	ITGAM	3684	P11215	integrin subunit alpha M		343	0.443	0.808	3.3148e-11	0.13		1.0	4	1	2011	2019
Multiple Sclerosis	C0026769	NOTCH4	4855	Q99466	notch receptor 4		150	0.534	0.731	2.0544e-23	0.13		1.0	5	4	2004	2013
Multiple Sclerosis	C0026769	RGS1	5996	Q08116	regulator of G protein signaling 1	Enzyme modulator	47	0.653	0.731	0.78178	0.13		0.75	4	1	2010	2016
Multiple Sclerosis	C0026769	CXCR5	643	P32302	C-X-C motif chemokine receptor 5	G-protein coupled receptor	146	0.524	0.769	0.72861	0.13		1.0	4	3	2008	2018
Multiple Sclerosis	C0026769	CD86	942	P42081	CD86 molecule		219	0.483	0.769	0.94879	0.13		1.0	4	2	2011	2018
Multiple Sclerosis	C0026769	MERTK	10461	Q12866	MER proto-oncogene, tyrosine kinase	Kinase	154	0.531	0.692	2.6593e-11	0.12		1.0	3	1	2011	2016
Multiple Sclerosis	C0026769	SP140	11262	Q13342	SP140 nuclear body protein		32	0.691	0.577	4.9994e-08	0.12		0.75	4	2	2011	2018
Multiple Sclerosis	C0026769	GALC	2581	P54803	galactosylceramidase		99	0.604	0.615	5.2142e-15	0.12		1.0	3	1	2013	2018
Multiple Sclerosis	C0026769	GFI1	2672	Q99684	growth factor independent 1 transcriptional repressor	Transcription factor	132	0.546	0.769	0.25492	0.12		1.0	3	1	2010	2016
Multiple Sclerosis	C0026769	HSPA1L	3305	P34931	heat shock protein family A (Hsp70) member 1 like		65	0.603	0.654	1.057e-06	0.12		1.0	3	2	2001	2016
Multiple Sclerosis	C0026769	TMEM39A	55254	Q9NV64	transmembrane protein 39A		6	0.839	0.231	0.95467	0.12		0.667	3	1	2010	2012
Multiple Sclerosis	C0026769	PTPN2	5771	P17706	protein tyrosine phosphatase non-receptor type 2		134	0.538	0.692	0.99953	0.12		1.0	3	1	2011	2017
Multiple Sclerosis	C0026769	RPS6KB1	6198	P23443	ribosomal protein S6 kinase B1	Kinase	169	0.511	0.731	0.97285	0.12		1.0	4	2	2011	2019
Multiple Sclerosis	C0026769	MMEL1	79258	Q495T6	membrane metalloendopeptidase like 1	Enzyme	74	0.606	0.692	1.2441e-22	0.12		1.0	5	3	2010	2014
Multiple Sclerosis	C0026769	ANKRD55	79722	Q3KP44	ankyrin repeat domain 55		46	0.65	0.462	6.7577e-08	0.12		1.0	5	2	2011	2019
Multiple Sclerosis	C0026769	TSFM	10102	P43897	Ts translation elongation factor, mitochondrial	Nucleic acid binding	44	0.736	0.423	1.9197e-09	0.11		1.0	2	1	2013	2019
Multiple Sclerosis	C0026769	MPHOSPH9	10198	Q99550	M-phase phosphoprotein 9		15	0.805	0.269	1.6616e-10	0.11		1.0	2	1	2009	2010
Multiple Sclerosis	C0026769	MALT1	10892	Q9UDY8	MALT1 paracaspase	Enzyme	148	0.532	0.769	0.98651	0.11		1.0	2	1	2011	2017
Multiple Sclerosis	C0026769	ADAD1	132612	Q96M93	adenosine deaminase domain containing 1	Enzyme	8	0.821	0.269	0.038952	0.11		0.5	2	1	2009	2011
Multiple Sclerosis	C0026769	ZBTB46	140685	Q86UZ6	zinc finger and BTB domain containing 46	Enzyme	26	0.716	0.5	0.80852	0.11		1.0	3	1	2011	2019
Multiple Sclerosis	C0026769	CTSH	1512	P09668	cathepsin H	Enzyme	63	0.626	0.654	1.2518e-08	0.11		1.0	2	1	2011	2018
Multiple Sclerosis	C0026769	ZNF433	163059	Q8N7K0	zinc finger protein 433		3	0.89	0.154	0.012227	0.11		1.0	1	1	2010	2010
Multiple Sclerosis	C0026769	ERBB3	2065	P21860	erb-b2 receptor tyrosine kinase 3	Kinase	318	0.448	0.808	1.7003e-15	0.11		1.0	2	1	2011	2018
Multiple Sclerosis	C0026769	ICOSLG	23308	O75144	inducible T cell costimulator ligand		69	0.601	0.654	0.00035482	0.11		1.0	2	1	2003	2011
Multiple Sclerosis	C0026769	ICOS	29851	Q9Y6W8	inducible T cell costimulator		193	0.502	0.731	0.031284	0.11		1.0	2	1	2007	2011
Multiple Sclerosis	C0026769	HLA-DMB	3109	P28068	major histocompatibility complex, class II, DM beta	Immune response	41	0.638	0.615	0.0024627	0.11		1.0	2	3	1999	2007
Multiple Sclerosis	C0026769	HLA-DQA2	3118	P01906	major histocompatibility complex, class II, DQ alpha 2	Immune response	58	0.617	0.769	1.0089e-05	0.11		1.0	2	5	1989	2007
Multiple Sclerosis	C0026769	HLA-DRB4	3126	P13762	major histocompatibility complex, class II, DR beta 4	Immune response	87	0.565	0.846		0.11		1.0	2	1	2013	2019
Multiple Sclerosis	C0026769	IRGM	345611	A1A4Y4	immunity related GTPase M		57	0.617	0.538		0.11		1.0	2	1	2010	2011
Multiple Sclerosis	C0026769	IFNGR2	3460	P38484	interferon gamma receptor 2	Receptor	71	0.597	0.577	0.95281	0.11		1.0	2	1	2004	2013
Multiple Sclerosis	C0026769	IGHA1	3493	P01876	immunoglobulin heavy constant alpha 1		64	0.617	0.692		0.11		1.0	2	1	2005	2015
Multiple Sclerosis	C0026769	IL2RB	3560	P14784	interleukin 2 receptor subunit beta	Receptor	226	0.491	0.846	0.29095	0.11		1.0	2	1	2010	2011
Multiple Sclerosis	C0026769	IL13	3596	P35225	interleukin 13		587	0.386	0.846	0.014426	0.11		1.0	2	1	2011	2019
Multiple Sclerosis	C0026769	LRP2	4036	P98164	LDL receptor related protein 2		254	0.491	0.846	0.99999	0.11		1.0	2	1	2017	2018
Multiple Sclerosis	C0026769	METTL1	4234	Q9UBP6	methyltransferase like 1	Enzyme	3	0.931	0.154	0.001962	0.11		1.0	2	2	2009	2019
Multiple Sclerosis	C0026769	MST1	4485	P26927	macrophage stimulating 1	Enzyme	281	0.465	0.885	4.7831e-19	0.11		1.0	2	1	2009	2011
Multiple Sclerosis	C0026769	TET2	54790	Q6N021	tet methylcytosine dioxygenase 2		362	0.458	0.808	4.3334e-54	0.11		1.0	2	1	2013	2014
Multiple Sclerosis	C0026769	AHI1	54806	Q8N157	Abelson helper integration site 1		221	0.513	0.846	1.0773e-25	0.11		1.0	3	1	2011	2018
Multiple Sclerosis	C0026769	GSDMB	55876	Q8TAX9	gasdermin B		44	0.67	0.5	3.3446e-07	0.11		1.0	2	2	2011	2017
Multiple Sclerosis	C0026769	BTNL2	56244	Q9UIR0	butyrophilin like 2	Enzyme modulator	145	0.546	0.808	8.5607e-11	0.11		1.0	3	6	2006	2013
Multiple Sclerosis	C0026769	SLC2A4RG	56731	Q9NR83	SLC2A4 regulator	Transcription factor	66	0.615	0.692	0.21856	0.11		1.0	2	1	2013	2017
Multiple Sclerosis	C0026769	ZMIZ1	57178	Q9ULJ6	zinc finger MIZ-type containing 1		96	0.588	0.615	0.99937	0.11		1.0	5	4	2011	2019
Multiple Sclerosis	C0026769	PVT1	5820		Pvt1 oncogene		190	0.495	0.731		0.11		0.667	3	3	2011	2017
Multiple Sclerosis	C0026769	BACH2	60468	Q9BYV9	BTB domain and CNC homolog 2		130	0.539	0.731	0.99803	0.11		1.0	4	4	2011	2013
Multiple Sclerosis	C0026769	CFB	629	P00751	complement factor B		139	0.532	0.769	4.6696e-16	0.11		1.0	2	1	1979	2007
Multiple Sclerosis	C0026769	ATXN2	6311	Q99700	ataxin 2	Nucleic acid binding	341	0.482	0.808	0.85289	0.11		1.0	2	2	2004	2011
Multiple Sclerosis	C0026769	TRAF3	7187	Q13114	TNF receptor associated factor 3	Signaling	129	0.541	0.769	0.99869	0.11		1.0	2	1	2013	2019
Multiple Sclerosis	C0026769	INS-IGF2	723961	F8WCM5	INS-IGF2 readthrough		51	0.633	0.5	0.055811	0.11		1.0	2	1	2004	2011
Multiple Sclerosis	C0026769	VAV2	7410	P52735	vav guanine nucleotide exchange factor 2		40	0.663	0.577	3.1086e-06	0.11		1.0	1	1	2010	2010
Multiple Sclerosis	C0026769	VMP1	81671	Q96GC9	vacuole membrane protein 1	Signaling	47	0.674	0.462	0.96271	0.11		0.667	3	2	2013	2019
Multiple Sclerosis	C0026769	IQGAP1	8826	P46940	IQ motif containing GTPase activating protein 1	Enzyme modulator	109	0.56	0.692	0.99754	0.11		1.0	2	2	2013	2016
Multiple Sclerosis	C0026769	TNFSF15	9966	O95150	TNF superfamily member 15	Signaling	143	0.531	0.692	0.0028159	0.11		1.0	2	1	2011	2019
Multiple Sclerosis	C0026769	CDH3	1001	P22223	cadherin 3		119	0.56	0.615	2.7988e-10	0.1		1.0	1	1	2013	2013
Multiple Sclerosis	C0026769	MIR181A1HG	100131234		MIR181A1 host gene		8	0.861	0.115		0.1		1.0	1	1	2013	2013
Multiple Sclerosis	C0026769	CD24	100133941	P25063	CD24 molecule		244	0.472	0.769		0.1		0.929	14	1	2003	2016
Multiple Sclerosis	C0026769	NONOP2	100271700		non-POU domain containing, octamer-binding pseudogene 2		6	0.861	0.231		0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	USP8P1	100287272		USP8 pseudogene 1		11	0.805	0.269		0.1		1.0	1	1	2007	2007
Multiple Sclerosis	C0026769	TTC34	100287898	A8MYJ7	tetratricopeptide repeat domain 34		5	0.89	0.192	6.4816e-11	0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	WTAPP1	100288077		Wilms tumor 1 associated protein pseudogene 1		9	0.89	0.154		0.1		1.0	1	1	2013	2013
Multiple Sclerosis	C0026769	HNRNPA1P68	100421397		heterogeneous nuclear ribonucleoprotein A1 pseudogene 68		1	1.0	0.077		0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	LINC02580	100506047		long intergenic non-protein coding RNA 2580		4	0.931	0.192		0.1		1.0	2	2	2011	2011
Multiple Sclerosis	C0026769	MIR3681HG	100506457		MIR3681 host gene		21	0.736	0.269		0.1		1.0	1	1	2013	2013
Multiple Sclerosis	C0026769	PPT2-EGFL8	100532746		PPT2-EGFL8 readthrough (NMD candidate)		17	0.792	0.462		0.1		1.0	1	1	2010	2010
Multiple Sclerosis	C0026769	SAE1	10055	Q9UBE0	SUMO1 activating enzyme subunit 1	Enzyme	15	0.821	0.269	0.9876	0.1		1.0	2	1	2011	2016
Multiple Sclerosis	C0026769	PCAT1	100750225		prostate cancer associated transcript 1		90	0.575	0.615		0.1		1.0	1	1	2013	2013
Multiple Sclerosis	C0026769	IFNG-AS1	100885789		IFNG antisense RNA 1		33	0.659	0.654		0.1		1.0	1	2	2011	2011
Multiple Sclerosis	C0026769	RASGRP1	10125	O95267	RAS guanyl releasing protein 1	Enzyme modulator	110	0.572	0.731	0.96554	0.1		1.0	1	1	2013	2013
Multiple Sclerosis	C0026769	PKIA-AS1	101927003		PKIA antisense RNA 1		1	1.0	0.077		0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	CHROMR	101927027		cholesterol induced regulator of metabolism RNA		5	0.861	0.154		0.1		1.0	1	1	2013	2013
Multiple Sclerosis	C0026769	LINC01934	101927156		long intergenic non-protein coding RNA 1934		11	0.821	0.308		0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	TH2LCRR	101927761		T helper type 2 locus control region associated RNA		19	0.751	0.385		0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	IL12A-AS1	101928376		IL12A antisense RNA 1		99	0.633	0.654		0.1		1.0	2	3	2011	2013
Multiple Sclerosis	C0026769	ZNF433-AS1	101928464		ZNF433 and ZNF878 antisense RNA 1		1	1.0	0.077		0.1		1.0	1	1	2010	2010
Multiple Sclerosis	C0026769	LINC01147	101928791		long intergenic non-protein coding RNA 1147		6	0.821	0.192		0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	TSBP1-AS1	101929163		TSBP1 and BTNL2 antisense RNA 1		63	0.638	0.692		0.1		1.0	5	28	2007	2013
Multiple Sclerosis	C0026769	DLEU1	10301	O43261	deleted in lymphocytic leukemia 1		109	0.569	0.692	0.47033	0.1		1.0	5	4	2011	2019
Multiple Sclerosis	C0026769	CASC19	103021165		cancer susceptibility 19		14	0.769	0.423		0.1		1.0	1	1	2013	2013
Multiple Sclerosis	C0026769	TNIP1	10318	Q15025	TNFAIP3 interacting protein 1		93	0.564	0.769	0.47559	0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	CDSN	1041	Q15517	corneodesmosin		101	0.585	0.731	0.46391	0.1		1.0	1	1	2007	2007
Multiple Sclerosis	C0026769	CD52	1043	P31358	CD52 molecule		60	0.615	0.5	0.40282	0.1		1.0	10	0	2017	2019
Multiple Sclerosis	C0026769	IFI30	10437	P13284	IFI30 lysosomal thiol reductase	Enzyme	28	0.7	0.423	2.9645e-08	0.1		1.0	1	1	2013	2013
Multiple Sclerosis	C0026769	NCOA2	10499	Q15596	nuclear receptor coactivator 2	Enzyme	95	0.575	0.615	1.0	0.1		1.0	1	1	2013	2013
Multiple Sclerosis	C0026769	LINC02471	105369734		long intergenic non-protein coding RNA 2471		4	0.861	0.154		0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	LINC02357	105374540		long intergenic non-protein coding RNA 2357		10	0.805	0.231		0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	LINC02571	105375015		long intergenic non-protein coding RNA 2571		28	0.743	0.5		0.1		1.0	1	2	2007	2007
Multiple Sclerosis	C0026769	BATF	10538	Q16520	basic leucine zipper ATF-like transcription factor	Transcription factor	31	0.674	0.5	0.85462	0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	RGS14	10636	O43566	regulator of G protein signaling 14		24	0.751	0.346	0.0023174	0.1		1.0	1	2	2013	2013
Multiple Sclerosis	C0026769	EHMT2-AS1	106478954		EHMT2 and SLC44A4 antisense RNA 1		14	0.78	0.462		0.1		1.0	1	1	2010	2010
Multiple Sclerosis	C0026769	TSBP1	10665	Q5SRN2	testis expressed basic protein 1		48	0.638	0.692	1.4756e-16	0.1		1.0	4	18	2007	2012
Multiple Sclerosis	C0026769	TNFSF13B	10673	Q9Y275	TNF superfamily member 13b		282	0.46	0.731	0.98193	0.1		1.0	13	0	2008	2018
Multiple Sclerosis	C0026769	LRRK2-DT	107984474		LRRK2 divergent transcript		6	0.861	0.154		0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	LINC01967	107986041		long intergenic non-protein coding RNA 1967		4	0.931	0.115		0.1		1.0	5	4	2011	2016
Multiple Sclerosis	C0026769	HCP5	10866	Q6MZN7	HLA complex P5		79	0.595	0.808		0.1		1.0	1	1	2007	2007
Multiple Sclerosis	C0026769	EHMT2	10919	Q96KQ7	euchromatic histone lysine methyltransferase 2	Epigenetic regulator	86	0.59	0.808	0.00010292	0.1		1.0	2	3	2007	2010
Multiple Sclerosis	C0026769	ERVK-32	110006328		endogenous retrovirus group K member 32, envelope		158	0.522	0.692		0.1		1.0	11	0	2007	2019
Multiple Sclerosis	C0026769	FGFR1OP	11116	O95684	FGFR1 oncogene partner		40	0.656	0.577	0.00062816	0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	CDC37	11140	Q16543	cell division cycle 37	Enzyme modulator	30	0.695	0.5	0.90925	0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	CHI3L1	1116	P36222	chitinase 3 like 1		420	0.419	0.885	1.1133e-05	0.1		1.0	14	1	2010	2019
Multiple Sclerosis	C0026769	FAM107A	11170	O95990	family with sequence similarity 107 member A		36	0.674	0.462	8.2783e-07	0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	ATXN2L	11273	Q8WWM7	ataxin 2 like	Nucleic acid binding	30	0.695	0.423	1.0	0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	LINC02605	112935892		long intergenic non-protein coding RNA 2605		203	0.49	0.769		0.1		0.9	10	0	2010	2018
Multiple Sclerosis	C0026769	C1QTNF6	114904	Q9BXI9	C1q and TNF related 6		33	0.682	0.577	9.0082e-06	0.1		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	FCRL1	115350	Q96LA6	Fc receptor like 1	Cell adhesion	16	0.751	0.308	3.9509e-06	0.1		1.0	1	1	2013	2013
